signal_id,source_date,funding_type,conversion_stage,signal_title,source_url_or_path,source_type,geography_name,counterparty_name,counterparty_class,primary_constraint,amount_usd,signal_status,project_family,amount_display,amount_usd_floor,amount_qualifier,aggregation_role,superseded_by,supersedes,current_project_scope,publisher_name,dataset_name,dataset_version,canonical_ledger_url,canonical_record_url,citation_and_use_url
LAIS-0011,2025-12-19,Private Contract Value,Contracted,Meta Richland Parish data center: contracted more than $875M with Louisiana businesses,https://louisianaaihub.com/sources/2026-08-18_Meta_Richland_875M_Contracts_SourceReference.pdf,Primary (Company),Louisiana,"Meta Platforms, Inc.",Technology Company,Capital,875000000,LOGGED,Meta Hyperion,More than $875 million (historical),875000000,More than,Historical — superseded for current contract-value aggregation,LAIS-0127,,No,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0011,https://louisianaaihub.com/citation-use
LAIS-0012,2024-12-04,Public/Institutional Awards,Approved,"LCTCS commits $250,000 Workforce Rapid Response funding to Delta Community College (Meta-related)",https://louisianaaihub.com/sources/2026-08-18_LED_Meta_Richland_10B_Workforce_SourceReference.pdf,Primary (Official),Northeast Louisiana,Louisiana Community & Technical College System (LCTCS),State Agency,Workforce,250000,LOGGED,Meta Hyperion,"$250,000",250000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0012,https://louisianaaihub.com/citation-use
LAIS-0013,2025-06-26,Private Capex,Announced,Neuro.io plans $100M innovation campus (BrainHUB),https://louisianaaihub.com/sources/2026-08-18_LED_NeuroIO_BrainHUB_100M_10M_SourceReference.pdf,Primary (Official),Terrebonne Parish,Neuro.io,Technology Company,Capital,100000000,LOGGED,Neuro.io BrainHUB,$100 million,100000000,,Additive current amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0013,https://louisianaaihub.com/citation-use
LAIS-0014,2025-06-26,Public/Institutional Awards,Approved,Neuro.io project incentive: $10M performance-based grant (infrastructure/facility improvements),https://louisianaaihub.com/sources/2026-08-18_LED_NeuroIO_BrainHUB_100M_10M_SourceReference.pdf,Primary (Official),Terrebonne Parish,Neuro.io,Technology Company,Capital,10000000,LOGGED,Neuro.io BrainHUB,$10 million,10000000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0014,https://louisianaaihub.com/citation-use
LAIS-0015,2025-12-09,Private Capex,Announced,SLB Shreveport expansion: $30M to support digital infrastructure and data center equipment production,https://louisianaaihub.com/sources/2026-08-18_LED_SLB_Shreveport_30M_6M_SourceReference.pdf,Primary (Official),Caddo Parish,SLB,Energy Services,Capital,30000000,LOGGED,SLB Shreveport Expansion,$30 million,30000000,,Additive current amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0015,https://louisianaaihub.com/citation-use
LAIS-0016,2025-12-09,Public/Institutional Awards,Approved,SLB Shreveport expansion incentive: $6M performance-based grant (utility/infrastructure improvements),https://louisianaaihub.com/sources/2026-08-18_LED_SLB_Shreveport_30M_6M_SourceReference.pdf,Primary (Official),Caddo Parish,SLB,Energy Services,Capital,6000000,LOGGED,SLB Shreveport Expansion,$6 million,6000000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0016,https://louisianaaihub.com/citation-use
LAIS-0017,2025-12-10,Private Capex,Announced,Epic Piping Livingston expansion: $25M to support data center and energy markets,https://louisianaaihub.com/sources/2026-08-18_LED_EpicPiping_Livingston_25M_900K_SourceReference.pdf,Primary (Official),Livingston Parish,"Epic Piping, LLC",Industrial Manufacturer,Capital,25000000,LOGGED,Epic Piping Livingston Expansion,$25 million,25000000,,Additive current amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0017,https://louisianaaihub.com/citation-use
LAIS-0018,2025-12-10,Public/Institutional Awards,Approved,Epic Piping Livingston expansion incentive: $900000 EDAP infrastructure improvements,https://louisianaaihub.com/sources/2026-08-18_LED_EpicPiping_Livingston_25M_900K_SourceReference.pdf,Primary (Official),Livingston Parish,"Epic Piping, LLC",Industrial Manufacturer,Capital,900000,LOGGED,Epic Piping Livingston Expansion,"$900,000",900000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0018,https://louisianaaihub.com/citation-use
LAIS-0019,2025-02-06,Public/Institutional Awards,Announced,Louisiana Growth Fund: initial federal funding $50M (LA.IO initiative),https://louisianaaihub.com/sources/2026-08-18_LED_LouisianaGrowthFund_50M_SourceReference.pdf,Primary (Official),Louisiana,Louisiana Economic Development (LA.IO),State Agency,Capital,50000000,LOGGED,,$50 million,50000000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0019,https://louisianaaihub.com/citation-use
LAIS-0020,2026-02-26,Private Capex,Approved,England District Sub-District No. 4 created for digital infrastructure (HPC/AI) project prospect (company undisclosed in resolution),https://louisianaaihub.com/sources/LAIS-0020_EEIDD_EnglandDistrict_SubDistrictNo4_Resolution_2026-02-26.pdf,Primary (Official),Rapides Parish,Undisclosed digital infrastructure developer,Private Infrastructure Operator,Capital,—,LOGGED,England Airpark Digital Infrastructure District,,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0020,https://louisianaaihub.com/citation-use
LAIS-0021,2026-03-03,Public/Institutional Awards,Approved,Louisiana selects 19 FastSites; program backed by $150M Site Investment and Infrastructure Fund,https://louisianaaihub.com/sources/2026-08-18_LED_FastSites_150M_SourceReference.pdf,Primary (Official),Louisiana,Louisiana Economic Development (LED),Public Agency,Capital,150000000,LOGGED,,$150 million,150000000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0021,https://louisianaaihub.com/citation-use
LAIS-0022,2026-03-03,Public/Institutional Awards,Approved,Meta Data Center Community Action Grants: 2026 recipients published (Louisiana – Richland Parish Data Center),https://louisianaaihub.com/sources/2026-08-18_Meta_Richland_2026_ActionGrants_SourceReference.pdf,Primary (Company),Richland Parish,"Meta Platforms, Inc.",Technology Company,Workforce,—,LOGGED,Meta Hyperion,,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0022,https://louisianaaihub.com/citation-use
LAIS-0023,2026-03-25,Private Capex,Announced,Project Evest filing identifies second Meta-linked hyperscale data center track in Richland Parish,https://louisianaaihub.com/sources/LAIS-0023_LPSC_ProjectEvest_EntergyApplication_2026-03-25.pdf,Primary (Official),Richland Parish,Evest LLC,Technology Company,Power/Grid,—,LOGGED,Meta Project Evest,,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0023,https://louisianaaihub.com/citation-use
LAIS-0024,2026-04-23,Private Capex,Approved,EEIDD approves Project Lightning PILOT term sheet with Applied Digital for planned Rapides Parish data center campus (at least $3.6B capital cost; subject to later CEA approval; related contract-value disclosure logged separately as LAIS-0025),https://louisianaaihub.com/sources/LAIS-0024_EEIDD_ProjectLightning_TermSheetResolution_2026-04-23.pdf,Primary (Official),Rapides Parish,Applied Digital Corporation,Private Infrastructure Operator,Capital,3600000000,LOGGED,Applied Digital Delta Forge 1,At least $3.6 billion,3600000000,At least,Additive current amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0024,https://louisianaaihub.com/citation-use
LAIS-0025,2026-04-23,Private Contract Value,Contracted,Applied Digital announces Delta Forge 1 hyperscaler lease (approximately $7.5B total contracted value over an estimated 15-year term for 300 MW critical IT load; related project-capital context logged separately as LAIS-0024),https://louisianaaihub.com/sources/2026-04-23_AppliedDigital_Form8K_DeltaForge1_Official.pdf,Primary (Company),Delta Forge 1 (Rapides Parish),Applied Digital Corporation,Private Infrastructure Operator,Procurement,7500000000,LOGGED,Applied Digital Delta Forge 1,Approximately $7.5 billion,,Approximately,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0025,https://louisianaaihub.com/citation-use
LAIS-0026,2026-05-19,Private Infrastructure-Enabling Investment,Announced,Hut 8 / West Feliciana Parish River Bend water-infrastructure agreement (approximately $16M private water-system capacity expansion),https://louisianaaihub.com/sources/LAIS-0026_Hut8_WestFeliciana_WaterInfrastructureAgreement_2026-05-19.pdf,Primary (Company / Wire),West Feliciana Parish,Hut 8 Corp. / West Feliciana Parish,Private Infrastructure Operator,Infrastructure,16000000,LOGGED,Hut 8 River Bend,Approximately $16 million,,Approximately,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0026,https://louisianaaihub.com/citation-use
LAIS-0027,2026-06-23,Local Public Finance,Adopted,Bossier City adopts Infrastructure Capital Fund tied to Amazon data-center sales-tax revenue,https://louisianaaihub.com/sources/2026-06-23_BossierCity_Ordinance74_InfrastructureCapitalFund_Minutes.pdf,Primary (Official municipal minutes),Bossier City / Bossier Parish,City of Bossier City,Local Government,Infrastructure,—,LOGGED,Amazon Caddo-Bossier,,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0027,https://louisianaaihub.com/citation-use
LAIS-0028,2026-06-23,Private Infrastructure-Enabling Investment,Contracted,Cleco filing discloses executed Applied Digital electric-service agreement and approximately 430 MW additional electric load for Delta Forge 1 (mid-2027 service anticipated subject to LPSC approvals; utility load is non-additive with LAIS-0025 critical IT load),https://louisianaaihub.com/sources/2026-06-23_Cleco_Fontenot_Testimony_AppliedDigital_430MW_UtilityPathway.pdf,Primary (Official),Delta Forge 1 (Rapides Parish),Cleco Power LLC / Applied Digital Corporation,Utility/Energy,Power/Grid,—,LOGGED,Applied Digital Delta Forge 1,,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0028,https://louisianaaihub.com/citation-use
LAIS-0029,2026-07-13,Private Capex,Announced,Meta announces Hyperion expansion to 5 GW of planned compute capacity and more than $50 billion in announced investment (operator announcement; not utility or regulatory approval),https://louisianaaihub.com/sources/2026-07-13_Meta_Hyperion_Expansion_OfficialWebpageCapture.pdf,Primary (Company),Richland Parish,"Meta Platforms, Inc.",Technology Company,Capital,50000000000,LOGGED,Meta Hyperion,More than $50 billion,50000000000,More than,Current project amount,,LAIS-0001,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0029,https://louisianaaihub.com/citation-use
LAIS-0030,2026-06-24,Public/Institutional Awards,Approved,"Louisiana Legislature adds $50 million to FastSites, bringing the current fund to $200 million",https://louisianaaihub.com/sources/2026-06-24_LED_FastSites_Additional_50M_OfficialWebpageCapture.pdf,Primary (Official),Louisiana,Louisiana Economic Development (LED),Public Agency,Capital,50000000,LOGGED,FastSites / Site Investment and Infrastructure Fund,$50 million,50000000,,Incremental program funding,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0030,https://louisianaaihub.com/citation-use
LAIS-0031,2025-10-06,Private Capex,Announced,MMR announces $55.2 million Lafayette modular-systems facility serving data-center and semiconductor construction,https://louisianaaihub.com/sources/2025-10-06_LED_MMR_Lafayette_55.2M_OfficialWebpageCapture.pdf,Primary (Official),Lafayette Parish,MMR Group,Industrial Manufacturer,Capital,55200000,LOGGED,MMR Lafayette Modular Systems Facility,$55.2 million,55200000,,Current project amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0031,https://louisianaaihub.com/citation-use
LAIS-0032,2024-04-18,Private Capex,Announced,Fibrebond announces $50 million Webster Parish expansion supporting data-center infrastructure markets,https://louisianaaihub.com/sources/2024-04-18_LED_Fibrebond_Webster_50M_OfficialWebpageCapture.pdf,Primary (Official),Webster Parish,Fibrebond Corporation,Industrial Manufacturer,Capital,50000000,LOGGED,Fibrebond Minden Manufacturing Campus,$50 million,50000000,,Historical - superseded for current project aggregation,LAIS-0048,,No,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0032,https://louisianaaihub.com/citation-use
LAIS-0033,2026-02-03,Private Capex,Announced,The Shaw Group announces Livingston Parish workforce expansion supporting power and data-center demand,https://louisianaaihub.com/sources/2026-02-03_LED_Shaw_Livingston_Workforce_OfficialWebpageCapture.pdf,Primary (Official),Livingston Parish,The Shaw Group,Industrial Manufacturer,Workforce,—,LOGGED,Shaw Group Walker Enabling-Industry Expansion,,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0033,https://louisianaaihub.com/citation-use
LAIS-0034,2026-06-04,Private Capex,Announced,NovaSpark Energy announces $30 million Houma manufacturing facility supporting critical-infrastructure applications including data-center backup power,https://louisianaaihub.com/sources/2026-06-04_LED_NovaSpark_Houma_30M_OfficialWebpageCapture.pdf,Primary (Official),Terrebonne Parish,NovaSpark Energy,Industrial Manufacturer,Capital,30000000,LOGGED,NovaSpark Houma Manufacturing Facility,$30 million,30000000,,Current project amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0034,https://louisianaaihub.com/citation-use
LAIS-0035,2026-07-13,Private Workforce / Community Investment,Committed,Meta commits $5 million to Louisiana Delta Community College Foundation for Richland Parish data-center workforce scholarships beginning with the Class of 2026,https://louisianaaihub.com/sources/2026-07-13_LDCC_Meta_5M_DataCenterWorkforceScholarships_OfficialWebpageCapture.pdf,Primary (Official issuer webpage; reference fallback),Richland Parish / Northeast Louisiana,"Meta Platforms, Inc. / Louisiana Delta Community College Foundation",Technology Company / Educational Institution,Workforce,5000000,LOGGED,Meta Hyperion — Workforce and Community,$5 million,5000000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0035,https://louisianaaihub.com/citation-use
LAIS-0036,2026-07-23,Private Capex,Announced,Lightsource bp discloses $237 million Mowata Solar investment in Louisiana energy infrastructure,https://louisianaaihub.com/sources/2026-07-23_LightsourceBP_Meta_MowataSolar_PPA_OfficialWebpageCapture.pdf,Primary (Company),Acadia Parish,Lightsource bp / Mowata Solar LLC,Renewable Energy Developer,Power/Grid,237000000,LOGGED,Mowata Solar,$237 million,237000000,,Current project amount,,,Yes,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0036,https://louisianaaihub.com/citation-use
LAIS-0037,2026-07-23,Private Contract Value,Contracted,Lightsource bp and Meta finalize long-term PPA supporting planned 172 MWdc / 150 MWac Mowata Solar project in Acadia Parish,https://louisianaaihub.com/sources/2026-07-23_LightsourceBP_Meta_MowataSolar_PPA_OfficialWebpageCapture.pdf,Primary (Company),Acadia Parish,"Meta Platforms, Inc. / Lightsource bp",Technology Company / Renewable Energy Developer,Procurement,—,LOGGED,Mowata Solar / Meta PPA,Contract value undisclosed,,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0037,https://louisianaaihub.com/citation-use
LAIS-0038,2026-07-23,Private Workforce / Community Investment,Completed,"Lightsource bp discloses $400,000 contribution made in 2025 to the Acadia Parish Industrial Development Board",https://louisianaaihub.com/sources/2026-07-23_LightsourceBP_Meta_MowataSolar_PPA_OfficialWebpageCapture.pdf,Primary (Company),Acadia Parish,Lightsource bp / Acadia Parish Industrial Development Board,Renewable Energy Developer / Local Development Authority,Infrastructure,400000,LOGGED,Mowata Solar — Community Benefits,"$400,000",400000,,Additive current amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0038,https://louisianaaihub.com/citation-use
LAIS-0039,2024-07-24,Local Public Finance,Adopted,Baton Rouge Metropolitan Council adopts Resolution 57969 approving Mowata Solar’s 2027–2041 PILOT/facilities-rent schedule for Acadia Parish taxing bodies,https://louisianaaihub.com/sources/2024-07-24_BatonRouge_MetroCouncil_Resolution57969_MowataPILOT.pdf,Primary (Official municipal minutes),Acadia Parish / Capital Area Finance Authority,Capital Area Finance Authority / Mowata Solar LLC / Acadia Parish taxing bodies,Public Finance Authority / Renewable Energy Developer,Capital,—,LOGGED,Mowata Solar — PILOT / Facilities Rent,15 scheduled payments from 2027 through 2041; annual amounts in source,,,Approved schedule; excluded from face-value rollups,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0039,https://louisianaaihub.com/citation-use
LAIS-0040,2025-11-12,Local Public Finance,Ratified,"Acadia Parish authorizes and ratifies Mowata Solar Economic Development Financing Agreement and addendum, including minimum 60 resident jobs and $100,000 local-spending commitment",https://louisianaaihub.com/sources/2025-11-12_AcadiaParish_Mowata_EconomicDevelopmentAgreement_Minutes.pdf,Primary (Official parish minutes),Acadia Parish,Acadia Parish Industrial Development Board / Mowata Solar LLC / Lightsource bp,Local Development Authority / Renewable Energy Developer,Workforce,100000,LOGGED,Mowata Solar — Economic Development Agreement,"At least $100,000 local-spending commitment",100000,At least,Agreement term; excluded from public-finance and cross-class monetary rollups,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0040,https://louisianaaihub.com/citation-use
LAIS-0041,2026-03-25,Private Ratepayer / Affordability Commitment,Contracted,"Project Evest Sustainability Agreement commits $200 million from Evest and a $60 million Entergy match for low-income assistance, energy efficiency and weatherization",https://louisianaaihub.com/sources/LAIS-0023_LPSC_ProjectEvest_EntergyApplication_2026-03-25.pdf,Primary (Official),Louisiana / Richland Parish-linked,"Evest LLC / Entergy Louisiana, LLC",Technology Company Affiliate / Utility,Power/Grid,260000000,LOGGED,Meta Project Evest — Ratepayer and Community Commitments,$200 million from Evest; $260 million combined with Entergy match,260000000,,Additive current amount; combined commitment counted once,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0041,https://louisianaaihub.com/citation-use
LAIS-0042,2026-03-25,Private Infrastructure-Enabling Investment,Contracted,"Project Evest Sustainability Agreement provides for up to 2,500 MW of incremental renewable-resource subscription, subject to later procurement and certification",https://louisianaaihub.com/sources/LAIS-0023_LPSC_ProjectEvest_EntergyApplication_2026-03-25.pdf,Primary (Official),Louisiana / Richland Parish-linked,"Evest LLC / Entergy Louisiana, LLC",Technology Company Affiliate / Utility,Power/Grid,—,LOGGED,Meta Project Evest — Renewable Subscription,"Up to 2,500 MW; no monetary amount disclosed",,,No monetary amount,,,Not applicable,"Louisiana AI Hub, LLC",Louisiana AI Signals — Public Ledger,2026-08-18-r2,https://louisianaaihub.com/ledger,https://louisianaaihub.com/ledger#lais-0042,https://louisianaaihub.com/citation-use
